leftgx,leftgy,rightgx,rightgy,left0x,left0y,leftix,leftiy,right0x,right0y,rightix,rightiy
324,355,640,352,274,315,87.1226,61.1485,590,312,75.9374,46.1832
324,355,640,352,274,315,87.9647,60.1328,590,312,76.4888,46.344
325,355,639,349,275,315,84.5422,56.4959,589,309,76.186,48.5906
325,355,639,349,275,315,84.511,57.2885,589,309,76.5243,50.0275
326,355,639,349,276,315,84.5015,55.1356,589,309,78.695,50.071
328,353,641,348,278,313,94.0184,53.2132,591,308,85.1783,44.8124
328,353,642,349,278,313,93.0732,55.1444,592,309,83.3096,44.6429
328,352,642,349,278,312,91.6411,57.8571,592,309,83.0484,44.401
335,355,645,347,285,315,98.6493,44.303,595,307,93.3274,45.1066
335,354,642,347,285,314,96.2541,51.8144,592,307,99.8729,45.9179
334,354,642,346,284,314,97.7235,50.988,592,306,99.7271,47.4199
338,352,646,344,288,312,104.582,42.9452,596,304,106.723,49.4372
338,354,647,344,288,314,104.686,27.6188,597,304,105.254,50.3904
343,353,649,347,293,313,110.768,48.4268,599,307,116.358,46.0468
344,352,651,347,294,312,112.182,51.9974,601,307,117.629,47.0633
344,352,651,345,294,312,112.137,51.6963,601,305,117.37,47.79
344,352,651,347,294,312,113.888,59.8247,601,307,118.171,45.6965
344,353,651,347,294,313,113.721,53.0561,601,307,118.778,47.5348
344,352,651,347,294,312,114.766,57.5948,601,307,119.534,48.1906
346,354,657,347,296,314,119.917,56.6939,607,307,118.854,46.1726
346,354,657,346,296,314,119.45,57.3038,607,306,118.594,52.4596
346,354,657,348,296,314,119.805,57.9499,607,308,118.441,47.0259
346,354,659,347,296,314,120.151,55.042,609,307,115.196,50.6977
335,356,645,348,285,316,96.3425,68.0356,595,308,94.6604,64.2877
334,358,645,347,284,318,98.8659,62.9649,595,307,96.4542,65.0494
335,358,645,348,285,318,95.9666,62.7212,595,308,96.2314,62.9829
344,353,650,346,294,313,111.431,60.0211,600,306,116.42,51.2587
344,356,651,347,294,316,112.788,53.6792,601,307,119.115,50.8846
344,355,652,347,294,315,112.617,57.5034,602,307,116.483,50.5609
343,358,655,348,293,318,126.025,53.2507,605,308,122.739,52.6663
344,357,654,348,294,317,124.363,55.5641,604,308,126.11,51.584
347,355,659,347,297,315,122.58,57.7271,609,307,120.717,51.062
341,353,650,346,291,313,108.035,61.4586,600,306,114.956,47.106
334,354,647,343,284,314,100.114,63.3713,597,303,94.3612,60.4951
333,355,645,342,283,315,99.0832,60.4634,595,302,95.7718,62.9181
331,354,643,344,281,314,100.064,64.7364,593,304,97.328,62.1697
331,356,643,345,281,316,99.7601,63.749,593,305,96.8434,64.2411
332,355,644,345,282,315,100.477,64.7186,594,305,97.1707,63.9612
333,355,645,344,283,315,99.5752,62.09,595,304,97.1191,64.0786
345,361,623,358,295,321,90.6838,70.8938,573,318,153.133,54.9815
353,373,630,367,303,333,90.2348,92.8647,580,327,149.199,86.9677
357,377,629,368,307,337,82.211,85.4892,579,328,153.912,89.3947
343,373,626,368,293,333,114.753,92.1068,576,328,165.816,84.7637
353,375,625,370,303,335,96.3946,85.7636,575,330,170.945,82.173
351,373,634,366,301,333,107.377,89.3048,584,326,159.552,93.8788
343,373,633,366,293,333,120.304,92.3482,583,326,159.235,93.7933
355,375,635,367,305,335,94.6044,91.2496,585,327,155.728,90.8577
353,374,635,365,303,334,99.3869,92.369,585,325,156.607,93.8242
347,373,628,368,297,333,96.3265,91.9715,578,328,153.299,83.6877
349,375,627,369,299,335,91.8195,87.1876,577,329,155.306,83.6267
359,378,624,368,309,338,69.776,82.9634,574,328,160.542,85.0373
358,377,628,367,308,337,71.5118,81.822,578,327,153.431,83.4915
359,378,627,367,309,338,69.9068,80.7115,577,327,154.634,82.8059
359,378,625,368,309,338,67.6788,79.4655,575,328,157.768,80.5297
357,378,625,366,307,338,67.5234,81.3297,575,326,154.064,83.0016
358,378,628,366,308,338,67.3117,81.4713,578,326,149.424,84.5655
